학년도,학교급별,학년,성별,키
2016,초,5,여,151
2016,초,5,여,146.6
2016,초,5,남,144.8
2016,초,5,여,143.6
2016,초,6,여,157.6
2016,초,6,여,143.3
2016,초,6,남,157.1
2016,초,6,여,151.7
2016,초,6,남,147.7
2016,초,6,남,155.7
2016,초,6,여,149.6
2016,초,6,남,165.5
2016,초,6,여,160.6
2016,초,6,남,143.3
2016,초,6,여,156.9
2016,초,6,여,151.5
2016,초,6,여,157.8
2016,초,6,여,151
2016,초,6,여,158.7
2016,초,6,남,151.5
2016,초,6,여,159.9
2016,초,6,남,147.5
2016,초,6,여,156.8
2016,초,6,남,143.3
2016,초,6,남,162.7
2016,초,6,남,150
2016,초,6,남,161.2
2016,초,6,여,156.3
2016,초,1,남,123.3
2016,초,1,남,124.7
2016,초,1,남,116.7
2016,초,1,남,121.9
2016,초,1,남,117
2016,초,1,남,118.6
2016,초,1,남,120.5
2016,초,1,남,119.1
2016,초,1,남,113.1
2016,초,1,남,126.3
2016,초,1,남,121.2
2016,초,1,남,120.6
2016,초,1,여,116.7
2016,초,1,여,122
2016,초,1,여,126.3
2016,초,1,여,111.6
2016,초,1,여,119.8
2016,초,1,여,122.8
2016,초,1,여,130.1
2016,초,1,여,122.8
2016,초,1,여,119.3
2016,초,1,여,125.2
2016,초,1,여,122.8
2016,초,1,여,128.5
2016,초,2,남,131.2
2016,초,2,남,126.2
2016,초,2,남,122
2016,초,2,남,142.8
2016,초,2,남,125.5
2016,초,2,남,124.9
2016,초,2,남,120.7
2016,초,2,남,131.7
2016,초,2,남,121.3
2016,초,2,남,126.6
2016,초,2,남,127.6
2016,초,2,여,144.8
2016,초,2,여,119.6
2016,초,2,여,128.3
2016,초,2,여,119.7
2016,초,2,여,135.6
2016,초,2,여,127.7
2016,초,2,여,127.3
2016,초,2,여,126.4
2016,초,2,여,127.1
2016,초,2,여,138
2016,초,2,여,138.8
2016,초,2,여,133.2
2016,초,2,여,122.8
2016,초,3,남,139
2016,초,3,남,130.1
2016,초,3,남,134.6
2016,초,3,남,131.9
2016,초,3,남,136
2016,초,3,남,133.8
2016,초,3,남,136.5
2016,초,3,남,129.2
2016,초,3,남,132.3
2016,초,3,남,126.7
2016,초,3,남,136
2016,초,3,남,127.5
2016,초,3,남,129.7
2016,초,3,남,135
2016,초,3,여,142.4
2016,초,3,여,133.5
2016,초,3,여,135
2016,초,3,여,142
2016,초,3,여,126.5
2016,초,3,여,132.8
2016,초,3,여,135.7
2016,초,3,여,126.5
2016,초,3,여,126
2016,초,3,여,132.7
2016,초,3,여,138.5
2016,초,3,남,133
2016,초,4,남,131.3
2016,초,4,남,141
2016,초,4,남,142.7
2016,초,4,남,138.8
2016,초,4,남,149.8
2016,초,4,남,142
2016,초,4,남,139.4
2016,초,4,남,134
2016,초,4,남,139
2016,초,4,남,142
2016,초,4,남,154
2016,초,4,남,132
2016,초,4,여,135
2016,초,4,여,141.4
2016,초,4,여,136
2016,초,4,여,142
2016,초,4,여,138.1
2016,초,4,여,142.3
2016,초,4,여,143.1
2016,초,4,여,127
2016,초,4,여,136.6
2016,초,4,여,149.4
2016,초,4,여,145
2016,초,4,여,132.5
2016,초,4,여,136
2016,초,4,여,141.7
2016,초,5,남,144
2016,초,5,남,149.2
2016,초,5,남,153.4
2016,초,5,남,147.1
2016,초,5,남,155.4
2016,초,5,남,145.1
2016,초,5,남,142.4
2016,초,5,남,152.1
2016,초,5,남,137.8
2016,초,5,남,144.1
2016,초,5,남,142
2016,초,5,남,142.6
2016,초,5,남,140.4
2016,초,5,여,149.2
2016,초,5,여,140.7
2016,초,5,여,151.4
2016,초,5,여,150.1
2016,초,5,여,142
2016,초,5,여,144.4
2016,초,5,여,136.9
2016,초,5,여,152.8
2016,초,5,여,146.6
2016,초,5,여,134
2016,초,5,여,154
2016,초,6,남,143.1
2016,초,6,남,144.2
2016,초,6,남,147.8
2016,초,6,남,155.7
2016,초,6,남,149.7
2016,초,6,남,160.8
2016,초,6,남,146.5
2016,초,6,남,156.5
2016,초,6,남,148
2016,초,6,남,151.8
2016,초,6,남,154.4
2016,초,6,남,148.6
2016,초,6,남,159.8
2016,초,6,여,151.3
2016,초,6,여,142
2016,초,6,여,150.1
2016,초,6,여,160.8
2016,초,6,여,143.4
2016,초,6,여,151.5
2016,초,6,여,144.3
2016,초,6,여,149.3
2016,초,6,여,156.1
2016,초,6,여,150.5
2016,초,6,여,147.3
2016,초,6,여,150
